date, time, channel, user, function
2022/06/16, 05:27:56+09:00:00, C03F7FA69T7, U0396PJJY1K, make
2022/06/16, 05:28:48+09:00:00, C03F7FA69T7, W015NPKMPRQ, make
2022/06/16, 05:29:20+09:00:00, G01797716SF, W015NPKMPRQ, invite_action
2022/06/16, 05:29:39+09:00:00, G01797716SF, W015NPKMPRQ, invite_action
2022/06/16, 05:31:00+09:00:00, C03F7FA69T7, W015P0BU1S7, make
2022/06/16, 05:32:33+09:00:00, C03J9GP553R, W015UUZMB8U, invite_action
2022/06/16, 05:32:55+09:00:00, G01797716SF, W015UUZMB8U, invite_action
2022/06/16, 05:34:12+09:00:00, C03F7FA69T7, W015MCH3LJZ, make
2022/06/16, 05:36:49+09:00:00, C03J9GP553R, W015G25H4Q6, invite_action
2022/06/16, 05:37:04+09:00:00, C03KA11PVH7, W015G25H4Q6, invite_action
2022/06/16, 05:38:56+09:00:00, G01797716SF, U039BG06MNE, invite_action
2022/06/16, 05:39:37+09:00:00, C03KA11PVH7, U039BG06MNE, invite_action
2022/06/16, 05:43:45+09:00:00, C03KA11PVH7, W016CJY35H6, invite_action
2022/06/16, 05:49:04+09:00:00, C03F7FA69T7, U039A75FNH0, make
2022/06/16, 05:51:54+09:00:00, C03F7FA69T7, W015P0A7SUT, make
2022/06/16, 05:52:22+09:00:00, C03HEF9E51U, W015G259F7G, invite_action
2022/06/16, 05:52:56+09:00:00, C03HEF9E51U, W015G25H4Q6, invite_action
2022/06/16, 05:53:21+09:00:00, C03HEF9E51U, W016CJUQ72L, invite_action
2022/06/16, 05:56:41+09:00:00, C03J9GP553R, W015UV0CYG4, invite_action
2022/06/16, 05:56:45+09:00:00, G01797716SF, W015UV0CYG4, invite_action
2022/06/16, 05:56:55+09:00:00, C03KA11PVH7, W015UV1CHCL, invite_action
2022/06/16, 05:56:57+09:00:00, G01797716SF, W015UV0CYG4, invite_action
2022/06/16, 05:57:10+09:00:00, C03KWFZTH26, W015UV1CHCL, invite_action
2022/06/16, 05:57:23+09:00:00, C03HEF9E51U, W015UV1CHCL, invite_action
2022/06/16, 05:57:29+09:00:00, C03HEF9E51U, W015UV0CYG4, invite_action
2022/06/16, 05:58:31+09:00:00, C03KWFZTH26, W015UV0CYG4, invite_action
2022/06/16, 05:58:35+09:00:00, C03KA11PVH7, W015UV0CYG4, invite_action
2022/06/16, 05:58:36+09:00:00, G01797716SF, W015UV0CYG4, invite_action
2022/06/16, 06:00:10+09:00:00, C03HEF9E51U, W015P0H2GUT, invite_action
2022/06/16, 06:00:12+09:00:00, C03KWFZTH26, W015P0H2GUT, invite_action
2022/06/16, 06:00:33+09:00:00, C03HEF9E51U, W015MCPN129, invite_action
2022/06/16, 06:02:55+09:00:00, C03KWFZTH26, W015MCPN129, invite_action
2022/06/16, 06:03:13+09:00:00, C03HEF9E51U, W016CJY35H6, invite_action
2022/06/16, 06:03:31+09:00:00, C03HEF9E51U, W015NPSJ7V0, invite_action
2022/06/16, 06:08:55+09:00:00, C03HEF9E51U, W015MCM3SG5, invite_action
2022/06/16, 06:11:15+09:00:00, C03HEF9E51U, W0161CR617B, invite_action
2022/06/16, 06:22:10+09:00:00, C03KA11PVH7, W015UV0TTFE, invite_action
2022/06/16, 06:22:25+09:00:00, C03HEF9E51U, W015UV0TTFE, invite_action
2022/06/16, 06:24:02+09:00:00, C03KWFZTH26, W0161CTAZH7, invite_action
2022/06/16, 06:34:36+09:00:00, G01797716SF, W015NPKMPRQ, issue_url
2022/06/16, 07:09:52+09:00:00, C03F7FA69T7, U039BA1N5FX, make_url
2022/06/16, 07:10:04+09:00:00, C03KYUH442G, W015UV1CHCL, invite_action
2022/06/16, 07:11:55+09:00:00, C03KA11PVH7, W015G259F7G, invite_action
2022/06/16, 07:17:06+09:00:00, G01797716SF, W015NPKMPRQ, invite_action
2022/06/16, 07:17:07+09:00:00, C03F7FA69T7, W017AJAF0KB, make
2022/06/16, 07:17:16+09:00:00, G01797716SF, W015NPKMPRQ, invite_action
2022/06/16, 07:17:32+09:00:00, C03KQB5PA58, W015G25H4Q6, invite_action
2022/06/16, 07:19:57+09:00:00, C03KYUH442G, W015UV0CYG4, invite_action
2022/06/16, 07:20:12+09:00:00, C03KQB5PA58, W015UV0CYG4, invite_action
2022/06/16, 07:33:51+09:00:00, C03KWFZTH26, W015UV3M1L4, invite_action
2022/06/16, 07:43:27+09:00:00, C03KGB0FBJT, W016MHW1334, make
2022/06/16, 07:48:22+09:00:00, C03F7FA69T7, W016MHW1334, make
2022/06/16, 07:50:44+09:00:00, C03KGB0FBJT, W015UV0CYG4, invite_action
2022/06/16, 07:55:56+09:00:00, C03KGB0FBJT, W015NPSJ7V0, invite_action
2022/06/16, 08:04:17+09:00:00, C03KGB0FBJT, U039BG06MNE, invite_action
2022/06/16, 08:04:39+09:00:00, C03KQB5PA58, U039BG06MNE, invite_action
2022/06/16, 08:04:45+09:00:00, C03KYUH442G, U039BG06MNE, invite_action
2022/06/16, 08:05:27+09:00:00, C03HEF9E51U, U039BG06MNE, invite_action
2022/06/16, 08:24:19+09:00:00, C03HEF9E51U, W01581UP0DV, invite_action
2022/06/16, 08:34:40+09:00:00, C03KQB5PA58, W01581VMXQF, invite_action
2022/06/16, 08:39:32+09:00:00, C03HEF9E51U, W015P0GNTM1, invite_action
2022/06/16, 08:40:07+09:00:00, C03KA11PVH7, W015P0GNTM1, invite_action
2022/06/16, 09:14:37+09:00:00, C03KYUH442G, W01581UDQDD, invite_action
2022/06/16, 09:14:37+09:00:00, C03KYUH442G, W01581UDQDD, invite_action
2022/06/16, 09:39:03+09:00:00, C03KQB5PA58, U03A3USC3MW, invite_action
2022/06/16, 09:40:05+09:00:00, C03KA11PVH7, U03A3USC3MW, invite_action
2022/06/16, 10:53:47+09:00:00, C03KQB5PA58, W015P0JM40K, invite_action
2022/06/16, 10:58:21+09:00:00, C03KQB5PA58, W01581VK17Z, invite_action
2022/06/16, 11:53:37+09:00:00, C03J9GP553R, W0161CLNWJD, invite_action
2022/06/16, 11:53:37+09:00:00, C03J9GP553R, W0161CLNWJD, invite_action
2022/06/16, 11:53:37+09:00:00, G01797716SF, W0161CLNWJD, invite_action
2022/06/16, 11:53:42+09:00:00, C03KA11PVH7, W0161CLNWJD, invite_action
2022/06/16, 11:54:17+09:00:00, C03KWFZTH26, W0161CLNWJD, invite_action
2022/06/16, 11:54:20+09:00:00, C03HEF9E51U, W0161CLNWJD, invite_action
2022/06/16, 11:54:22+09:00:00, C03KYUH442G, W0161CLNWJD, invite_action
2022/06/16, 11:54:39+09:00:00, C03KQB5PA58, W0161CLNWJD, invite_action
2022/06/16, 11:54:48+09:00:00, C03KGB0FBJT, W0161CLNWJD, invite_action
2022/06/16, 12:05:01+09:00:00, C03KA11PVH7, W01581WU6R5, invite_action
